gene_name,gene_id,mean_normal_tissue,se_normal_tissue,mean_TCGA_BRCA_tumor,se_TCGA_BRCA_tumor
SERPINB12,ENSG00000166634.6,0.028271242,0.002591251,0.06173447,0.012996848
SERPINB13,ENSG00000197641.11,0.067772985,0.006054616,0.162866572,0.033280448
SERPINB4,ENSG00000206073.10,0.132837473,0.024601348,1.31250786,0.566252224
SERPINB11,ENSG00000206072.12,0.020561874,0.011060383,0.031792045,0.021764956
SERPINB3,ENSG00000057149.15,0.191534205,0.035933397,1.313343939,0.465025441
SERPINB7,ENSG00000166396.12,0.138650763,0.014168095,2.919774527,0.53785507
SERPINB2,ENSG00000197632.8,0.822015468,0.292239289,1.600271212,0.242475582
SERPINB10,ENSG00000242550.5,0.031404575,0.002896081,0.10973911,0.01861208
HMSD,ENSG00000221887.5,0.112140741,0.005058619,0.300516193,0.025543675
RP11-793J2.1,ENSG00000283667.1,0.48647037,0.017897028,0,0
SERPINB8,ENSG00000166401.14,6.208474946,0.116398816,6.233622064,0.138130279
RPL12P39,ENSG00000237314.2,0.008015904,0.001549587,0.011270549,0.00170475
LINC00305,ENSG00000179676.6,0.010739869,0.00312553,0.116222822,0.07852351
LINC01924,ENSG00000267134.1,0.003727233,0.002128762,0.136573864,0.025769227
AC100848.1,ENSG00000236392.2,0.012644444,0.002765251,0,0
